test_name,application,value,timestamp
test_collect_metrics_data_2,mlflow,0.22023508548736573,2023-11-09 03:54:43.731692
test_collect_metrics_data_2,fasttrack,0.02367410659790039,2023-11-09 03:54:43.731692
test_collect_metrics_data_2,average,0.13904313246409097,2023-11-09 03:54:43.731692
test_collect_metrics_data_3,aim,0.18330862522125244,2023-11-09 03:54:48.277542
test_collect_metrics_data_3,mlflow,0.24596328735351564,2023-11-09 03:54:48.277542
test_collect_metrics_data_3,fasttrack,0.025151324272155762,2023-11-09 03:54:48.277542
test_collect_metrics_data_3,average,0.15147441228230796,2023-11-09 03:54:48.277542
test_collect_runs_data_0,aim,0.14033691883087157,2023-11-09 03:54:52.078364
test_collect_runs_data_0,mlflow,0.21264801025390626,2023-11-09 03:54:52.078364
test_collect_runs_data_0,fasttrack,0.02690300941467285,2023-11-09 03:54:52.078364
test_collect_runs_data_0,average,0.12662931283315024,2023-11-09 03:54:52.078364
test_collect_runs_data_1,aim,0.1375437021255493,2023-11-09 03:54:55.815201
test_collect_runs_data_1,mlflow,0.20880520343780518,2023-11-09 03:54:55.815201
test_collect_runs_data_1,fasttrack,0.027187609672546388,2023-11-09 03:54:55.815201
test_collect_runs_data_1,average,0.12451217174530028,2023-11-09 03:54:55.815201
test_collect_runs_data_2,aim,0.14267468452453613,2023-11-09 03:54:59.675612
test_collect_runs_data_2,mlflow,0.22011828422546387,2023-11-09 03:54:59.675612
test_collect_runs_data_2,fasttrack,0.023070502281188964,2023-11-09 03:54:59.675612
test_collect_runs_data_2,average,0.1286211570103963,2023-11-09 03:54:59.675612
test_collect_runs_data_3,aim,0.14081919193267822,2023-11-09 03:55:03.449042
test_collect_runs_data_3,mlflow,0.2126845121383667,2023-11-09 03:55:03.449042
test_collect_runs_data_3,fasttrack,0.023661589622497557,2023-11-09 03:55:03.449042
test_collect_runs_data_3,average,0.12572176456451414,2023-11-09 03:55:03.449042
test_query_metrics_0,aim,0.17852320671081542,2023-11-09 03:55:05.682924
test_query_metrics_0,mlflow,0.024781203269958495,2023-11-09 03:55:05.682924
test_query_metrics_0,fasttrack,0.019877815246582033,2023-11-09 03:55:05.682924
test_query_metrics_0,average,0.07439407507578531,2023-11-09 03:55:05.682924
test_query_metrics_1,aim,0.17326221466064454,2023-11-09 03:55:07.888633
test_query_metrics_1,mlflow,0.020834708213806154,2023-11-09 03:55:07.888633
test_query_metrics_1,fasttrack,0.0263232946395874,2023-11-09 03:55:07.888633
test_query_metrics_1,average,0.07347340583801269,2023-11-09 03:55:07.888633
test_query_metrics_2,aim,0.19776198863983155,2023-11-09 03:55:10.372111
test_query_metrics_2,mlflow,0.030741786956787108,2023-11-09 03:55:10.372111
test_query_metrics_2,fasttrack,0.01971108913421631,2023-11-09 03:55:10.372111
test_query_metrics_2,average,0.08273828824361167,2023-11-09 03:55:10.372111
test_query_metrics_3,aim,0.17044239044189452,2023-11-09 03:55:12.571289
test_query_metrics_3,mlflow,0.024862098693847656,2023-11-09 03:55:12.571289
test_query_metrics_3,fasttrack,0.02445378303527832,2023-11-09 03:55:12.571289
test_query_metrics_3,average,0.07325275739034016,2023-11-09 03:55:12.571289
test_query_runs_0,aim,0.1415548086166382,2023-11-09 03:55:16.465105
test_query_runs_0,mlflow,0.2270587921142578,2023-11-09 03:55:16.465105
